feature_name,clinical_domain,source_table,source_column,transformation,measurement_window,timestamp_used,available_by_discharge,billing_derived,postdischarge_or_forward_looking,missingness_overall,missingness_by_partition,missingness_by_race_group,reason_for_inclusion_or_exclusion
los_trend_x_prior_admits,Prior utilization,admissions/patients,los_trend_x_prior_admits,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
log_prior_readmit_count,Prior utilization,admissions/patients,log_prior_readmit_count,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
log_prior_admits_6m,Prior utilization,admissions/patients,log_prior_admits_6m,see provenance audit / repo,prior 6m,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
nonenglish_x_prior_admits,Prior utilization,admissions/patients,nonenglish_x_prior_admits,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
log_time_since_discharge,Prior utilization,admissions/patients,log_time_since_discharge,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
new_med_rate_48h,Medications,pharmacy/emar,new_med_rate_48h,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
los_per_prior_admit,Prior utilization,admissions/patients,los_per_prior_admit,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
discharge_surge,Orders / operations,poe,discharge_surge,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
race_te,Demographics,admissions/patients,race_te,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: race-derived
bp_diastolic_outpatient,Laboratory / physiology,omr,bp_diastolic_outpatient,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.3881,"{""train"": 0.382, ""val"": 0.4001, ""test"": 0.3837}","{""White"": 0.3922, ""Black"": 0.2969}",eligible
comorbidity_pc4,Diagnosis / coding,diagnoses_icd,comorbidity_pc4,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
rapid_tfr_x_readmit,Admission / stay context,admissions/patients,rapid_tfr_x_readmit,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
